folder,image,predicted_fuel_flow,predicted_diluent_flow,expected_fuel_flow,expected_diluent_flow
S9D1150,DSC_5163.JPG,1635.8552510984555,1234.699812408464,1150,900
S9D1150,DSC_5164.JPG,1625.1847321035712,1276.7024174235994,1150,900
S9D1150,DSC_5165.JPG,1618.1803372604481,1226.941159242495,1150,900
S9D1150,DSC_5166.JPG,1595.0792053957884,1221.1914227637972,1150,900
S9D1150,DSC_5167.JPG,1613.6797256304744,1171.6584485036656,1150,900
S9D1150,DSC_5168.JPG,1622.3755142838127,1158.682721341269,1150,900
S9D1150,DSC_5169.JPG,1612.2369351671405,1210.9898316287072,1150,900
S9D1150,DSC_5170.JPG,1636.0667688851318,1203.048987710994,1150,900
S9D1150,DSC_5171.JPG,1616.1908511073452,1246.9839602053326,1150,900
S9D1150,DSC_5172.JPG,1611.1998760585338,1234.6992214703969,1150,900
S9D1150,DSC_5173.JPG,1674.6309219996365,1204.1973167455653,1150,900
S9D1150,DSC_5174.JPG,1620.3200012203015,1255.5487438082855,1150,900
S9D1150,DSC_5175.JPG,1626.5898310917328,1234.1611496319747,1150,900
S9D1150,DSC_5176.JPG,1624.0807193910769,1211.1729769727135,1150,900
S9D1350,DSC_5178.JPG,1712.776013630133,1107.5899433248123,1350,900
S9D1350,DSC_5179.JPG,1621.1708662236597,1007.2036573356963,1350,900
S9D1350,DSC_5180.JPG,1533.5362706874494,1118.051592666172,1350,900
S9D1350,DSC_5181.JPG,1609.3968335050777,1081.4942546548882,1350,900
S9D1350,DSC_5182.JPG,1671.681363580832,971.3722640113774,1350,900
S9D1350,DSC_5183.JPG,1535.1211214790746,1102.9999000742828,1350,900
S9D1350,DSC_5184.JPG,1661.3450245114473,1103.4061927237562,1350,900
S9D1350,DSC_5185.JPG,1598.1235004018345,1068.0722783383317,1350,900
S9D1350,DSC_5186.JPG,1624.9232619741488,1060.7779206659543,1350,900
S9D1350,DSC_5187.JPG,1566.5526574507567,1111.8237872912432,1350,900
S9D1350,DSC_5188.JPG,1699.3232400315355,1105.354470073995,1350,900
S9D1350,DSC_5189.JPG,1699.7074970469803,1039.4024179916305,1350,900
S9D1350,DSC_5190.JPG,1621.926549114065,987.0280998632606,1350,900
S9D1350,DSC_5191.JPG,1750.1831899355893,1032.6536779822236,1350,900
S9D1350,DSC_5192.JPG,1654.439768049593,1112.0673901451846,1350,900
S9D1350,DSC_5193.JPG,1627.3503613018765,1056.1145101815637,1350,900
S9D1350,DSC_5194.JPG,1637.6867538343467,1043.6595358265477,1350,900
S9D1350,DSC_5195.JPG,1629.9119024682332,932.9374930327376,1350,900
S9D1350,DSC_5196.JPG,1600.13675980689,996.8415356018577,1350,900
S9D1350,DSC_5197.JPG,1547.4708536112284,1088.7816574407843,1350,900
S9D1350,DSC_5198.JPG,1612.3799667414823,1031.65462899474,1350,900
S9D1350,DSC_5199.JPG,1729.8065547214355,982.6829549847425,1350,900
S9D1350,DSC_5200.JPG,1706.7628778524995,1027.2626863669902,1350,900
S9D1350,DSC_5201.JPG,1532.9224520940224,1032.2357938552814,1350,900
S9D1350,DSC_5202.JPG,1615.7129624084228,1065.538517733985,1350,900
S9D1550,DSC_5204.JPG,1544.562533052258,1166.6969779496176,1550,900
S9D1550,DSC_5205.JPG,1536.6213758486465,1065.6177943485163,1550,900
S9D1550,DSC_5206.JPG,1536.658639619136,1096.7786404748658,1550,900
S9D1550,DSC_5207.JPG,1505.6635049921442,1085.314214690523,1550,900
S9D1550,DSC_5208.JPG,1594.891068798439,1081.5425752060619,1550,900
S9D1550,DSC_5209.JPG,1633.201414825755,1038.4943734664703,1550,900
S9D1550,DSC_5210.JPG,1525.2204352711851,1052.9293540002473,1550,900
S9D1550,DSC_5211.JPG,1523.0590563881651,1074.0569808838372,1550,900
S9D1550,DSC_5212.JPG,1641.1291527949434,1060.0637492835558,1550,900
S9D1550,DSC_5213.JPG,1522.678310115325,1080.1251875238922,1550,900
S9D1550,DSC_5214.JPG,1623.741692145839,1073.1182530359656,1550,900
S9D1550,DSC_5215.JPG,1613.6359215425437,1087.4228180840255,1550,900
S9D1550,DSC_5216.JPG,1615.8916003976083,1036.717377242123,1550,900
S9D1550,DSC_5217.JPG,1493.6987159850305,1053.234278042837,1550,900
S9D1550,DSC_5218.JPG,1520.9223863610914,1075.9003894555644,1550,900
S9D1550,DSC_5219.JPG,1510.2754000342757,1073.1054342255884,1550,900
S9D1550,DSC_5220.JPG,1559.7653138236437,1048.641598299393,1550,900
S9D1550,DSC_5221.JPG,1515.9063905883359,1037.6416952925138,1550,900
S9D1550,DSC_5222.JPG,1506.2860826210544,1044.536715201899,1550,900
S9D1550,DSC_5223.JPG,1647.7087656039257,1057.0776937740557,1550,900
S9D1550,DSC_5224.JPG,1508.0653697435864,1100.2276732315004,1550,900
S9D1550,DSC_5225.JPG,1567.5722163094251,1045.5001260782628,1550,900
S9D1550,DSC_5226.JPG,1582.6769814243344,1041.1474126468092,1550,900
S9D1550,DSC_5227.JPG,1607.902166027925,1038.1448108714321,1550,900
